"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome","115/3074","249/9370",0.461847389558233,1.40777815229689,4.5568904784048,5.91363760729522e-06,7.98341076984854e-05,4.38135903698391e-05,"7805/1513/4074/206358/55207/528/84335/523/8546/55353/24141/7879/54/153129/6845/3482/9550/22901/79641/55737/1175/427/8722/55745/3916/1520/533/9374/1174/5007/51382/8763/26258/527/84062/4891/950/23062/1777/1519/163/9296/51699/282991/1508/1213/26503/1075/26175/80208/9885/26985/1201/114880/8992/1200/4758/5538/23545/5660/26031/51296/164/10542/23312/256471/537/8649/2581/9114/2720/526/114876/5476/10947/27074/4286/2519/3920/175/27072/4668/28956/23461/9842/3423/23230/8673/55315/9342/58528/23557/121260/1514/2629/388552/160/10053/1511/1522/9516/28962/255231/79158/51606/53/2799/8905/7942/1509/138050/2030/55283/1203/3988",115
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","51/3074","93/9370",0.548387096774194,1.67156379205406,4.54769321883503,8.97703562318555e-06,0.000114222333669591,6.26861210422408e-05,"2064/5594/52/1457/5819/3643/1956/5879/51176/6885/7525/11235/387/998/10580/4089/5787/5906/6934/51701/1500/83439/889/9855/7082/3480/71/8826/10163/54922/4233/117178/6093/999/1003/1495/5795/6714/5792/2260/81607/10398/7048/5770/56288/7046/5881/10810/8976/64750/5880",51
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","83/3074","170/9370",0.488235294117647,1.48821233112633,4.48854395957733,9.11175311324375e-06,0.000114222333669591,6.26861210422408e-05,"2064/7430/9223/10096/7122/5111/10097/3059/81873/3308/10092/10093/149461/58494/5515/83700/5584/776/5879/84790/4629/387/998/5520/5010/5519/5962/10109/10552/10376/5906/4218/10094/5571/1739/3688/84612/3993/23327/5518/8531/7082/9368/4734/71/9181/1019/5601/50848/51735/1365/7408/6093/1741/11346/84952/100506658/5564/10095/57826/153562/6714/2017/140465/27134/9073/6794/7074/595/5562/10398/57530/154810/56288/1366/54566/91862/4627/1364/5565/113457/5567/5522",83
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","53/3074","98/9370",0.540816326530612,1.6484869809993,4.50914062156016,1.03467003194584e-05,0.000125230752142411,6.87276282562938e-05,"5594/1072/10096/10097/2212/81873/2934/10092/5788/2209/10093/5879/5295/50807/1398/998/10451/10109/4067/10552/3055/5604/10094/382/5580/8394/2215/2214/5290/207/8681/100137049/1073/4082/10163/8611/65108/7408/8612/274/10095/5321/6198/5337/8503/5058/1399/10000/8613/5578/10810/9846/5880",53
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","41/3074","71/9370",0.577464788732394,1.76019683488046,4.49265737328495,1.26765094337451e-05,0.00014631464272124,8.02986343319444e-05,"2099/5594/1586/5295/2932/5970/1154/5618/6776/4893/3845/5604/2001/2885/5290/207/6654/9655/1432/6774/2309/6777/6464/5601/2353/5603/122809/6772/4790/6714/8835/5600/595/8503/2592/9306/10000/9021/3717/3659/1081",41
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","48/3074","87/9370",0.551724137931034,1.68173557983533,4.46372676850432,1.31488795142705e-05,0.00014631464272124,8.02986343319444e-05,"5594/332/4436/2956/7043/54205/596/5898/1956/5879/51176/5295/2932/387/4089/836/4893/26060/4616/3845/6934/5366/5604/581/2885/83439/5290/207/6654/324/10018/5601/4087/2353/7040/5899/6198/595/8503/7048/10000/673/7046/5881/1950/7157/5880/1026",48
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","107/3074","232/9370",0.461206896551724,1.40582583626859,4.37345134397117,1.33392266868367e-05,0.00014631464272124,8.02986343319444e-05,"5594/128239/7430/1072/10096/10097/81873/7852/3679/2934/10092/81624/10093/3689/89846/6387/1956/5879/2335/2252/80310/5295/4629/5500/387/1398/998/5216/51571/10451/5962/5062/10109/4893/10552/22808/5747/2246/5156/3845/9459/5499/5604/10094/55740/5305/2247/221178/4660/8394/3688/5290/207/28984/3672/3684/6654/324/730/4638/71/1073/8826/10163/2263/79837/2149/3696/54434/6093/4659/50649/2264/3680/3071/22801/1902/81553/10095/10672/6714/5063/5154/2260/22800/7074/8503/10398/5058/3694/1399/8396/10000/673/5881/2261/4627/1950/1730/3683/26999/8976/5880/3655/3676/3691/8515",107
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","69/3074","137/9370",0.503649635036496,1.53519748870916,4.40929467743293,1.38066624709555e-05,0.000146852682645617,8.05939149022281e-05,"1513/5594/332/63970/54205/596/4001/6709/84823/4170/142/637/84790/1965/5295/597/5970/3551/836/4893/10376/4616/3845/9451/8722/5366/5604/581/1520/9131/331/8837/472/5290/207/1519/1508/56616/3708/10018/1075/3710/71/598/8737/1439/5601/4000/841/5170/2353/3002/8743/4790/1147/1514/8503/8772/1522/8996/10000/840/839/3709/5414/1509/153090/7157/113457",69
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","64/3074","125/9370",0.512,1.56065061808718,4.40920250434426,1.42994679576037e-05,0.000147554245492984,8.09789381472966e-05,"2207/5594/2773/5527/123099/596/94103/5515/29095/8879/5879/637/5295/387/5970/5520/253782/5519/4893/29956/171546/3845/9517/427/55304/5604/581/10558/55012/5290/207/5518/2770/94101/8560/1432/5728/5601/5170/5603/8439/6093/4790/10672/4363/5600/5337/8503/1903/10000/81537/5881/5529/5578/259230/1509/166929/130367/7157/9846/23236/134/5880/5522",64
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","115/3074","253/9370",0.454545454545455,1.38552079020524,4.34358453354292,1.47133863027192e-05,0.000147554245492984,8.09789381472966e-05,"5594/7334/375/10096/9474/10097/54205/3059/596/81873/10092/84335/4735/10093/7416/8767/7335/11335/1956/5879/6885/5295/63916/10801/7336/2932/387/1398/7322/998/5216/5970/3551/55054/81631/7321/5481/4671/8454/10109/6500/10552/5747/113026/9140/7188/4303/581/10094/4615/23118/382/5580/472/10892/3688/5290/207/23176/7323/826/83660/3708/3710/71/598/1432/7307/102724594/29110/9181/10163/55752/2309/8737/5601/30849/8678/5603/960/6093/55062/10392/4790/10095/6714/2017/2308/3021/29108/5600/6198/58528/1147/664/8503/10398/9265/1399/23157/718/831/10000/8878/6352/3709/199746/5333/51619/9252/4193/7157/8976/23236/8356",115
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","100/3074","216/9370",0.462962962962963,1.41117858261645,4.27187068971007,2.08612014219027e-05,0.000203396713863551,0.000111625726906672,"5594/7494/54205/596/3308/3312/3326/3329/1536/5879/637/6348/6349/414062/1965/9619/948/6885/22926/5295/2932/7184/387/998/5970/3551/30001/3310/10451/6648/836/4893/4067/1555/5906/5747/3845/9451/4318/581/3949/4615/5468/23118/4312/3320/5290/207/3309/4775/3708/6347/57534/598/1432/801/805/6416/29110/19/6774/3304/3303/5601/841/5170/808/2353/5603/8743/3383/4772/4688/4790/2920/6714/29108/1573/4314/5600/1147/1535/4780/8503/818/5532/353376/3665/10000/4973/7436/840/6352/839/5578/817/3717/810/7157/23236",100
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","40/3074","70/9370",0.571428571428571,1.74179756482945,4.35270405891527,2.27091993401573e-05,0.00021543051265933,0.000118229970960136,"3113/3122/3126/3123/3127/3125/3117/3118/54205/3689/3119/5879/637/3908/3109/836/942/857/27/1981/71/1756/841/3383/3133/1605/3134/8672/25/8082/595/1604/3106/3107/5881/3683/6641/6445/1525/5880",40
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","104/3074","227/9370",0.458149779735683,1.39650729867383,4.22557628071632,2.48420795425469e-05,0.000229462366300893,0.000125930763332024,"5594/6009/2773/54205/7852/2782/196883/6387/2778/1956/5879/637/6348/6349/414062/5295/2932/387/1398/5970/3551/6351/3716/836/4893/5733/148327/5747/5156/3845/1385/7188/54331/5604/581/1230/2885/2783/5290/2788/6376/207/811/7422/4775/6654/2770/2791/3708/6347/3710/1432/801/805/29110/6774/1019/8737/841/11214/808/5603/1021/90993/7249/4772/6093/59345/2923/3133/4790/3134/10672/10681/6714/2767/5600/6198/6890/113/1147/10488/6667/595/8503/8772/1399/5532/3106/10000/3107/6352/5881/3709/5578/567/9586/810/4193/7157/23236/5880/5567/1026",104
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","40/3074","71/9370",0.563380281690141,1.71726520476142,4.23893742109421,3.56546056710121e-05,0.000320891451039109,0.000176107768901355,"528/523/58494/83700/1956/5879/998/5970/3551/9550/836/4067/533/51382/527/5781/9296/7082/102/1432/6416/8992/23545/5601/4233/50848/537/5603/9114/526/10392/4790/2920/6714/5600/1147/5058/6352/51606/5803",40
"Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","43/3074","78/9370",0.551282051282051,1.6803880353002,4.21614520878801,3.7606121528249e-05,0.000329993716410385,0.000181103164201831,"10096/10097/3059/81873/10092/4735/10093/10459/5879/2335/5295/63916/10801/387/1398/998/10109/10552/5747/10094/3688/858/5290/857/23176/1213/71/10163/55752/6464/26084/4233/999/1495/10095/6714/2017/2549/8503/1399/23157/23607/8976",43
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","48/3074","90/9370",0.533333333333333,1.62567772717415,4.16739007673557,4.31472874904237e-05,0.000369382875832651,0.000202720246745765,"9474/6009/84335/196883/3643/9470/3479/1977/5295/79813/5970/51094/9370/6648/4893/148327/26060/3845/1385/581/5571/5468/5290/207/3480/9821/2309/3667/8408/90993/7249/4790/5564/143686/60673/2308/6198/6794/8660/113/10488/5562/8503/10000/9586/5565/7157/5567",48
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","107/3074","238/9370",0.449579831932773,1.37038484879964,4.04412835784316,5.08022206121814e-05,0.000424561415116087,0.000233002665965644,"2277/5594/2321/2782/5898/3643/1956/5879/2252/3481/3479/80310/10156/5295/5878/387/998/5970/5921/3551/57186/5062/5966/4893/22808/5906/5868/57148/2246/5156/253959/3845/54331/4303/3082/5604/4915/2247/382/2885/2783/5869/5781/5290/2788/207/7422/27/6654/8681/100137049/2791/3480/598/801/805/29110/2263/9610/4254/6464/5601/5924/4233/808/59345/81579/6789/10125/2264/4790/9462/5899/11145/10681/5321/100271927/5063/3815/5154/23179/25/55770/2549/2260/5922/5337/1147/22800/7074/8503/1946/5058/1945/4763/284/10000/5881/2261/5578/1950/54979/810/9846/5880/5567/2114",107
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","24/3074","37/9370",0.648648648648649,1.97717561413072,4.16130013861588,6.27899840325303e-05,0.000512541497567863,0.000281286831773636,"140838/2673/7360/5238/55577/7358/8790/80146/2582/7264/55907/2585/2821/23483/5373/5236/64841/2762/55276/2592/6675/91373/54187/9945",24
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","41/3074","75/9370",0.546666666666667,1.6663196703535,4.04813288425496,7.33207975987243e-05,0.000584899999026187,0.000320997750252788,"2064/5594/332/7153/4436/2956/54205/2949/596/4259/637/5295/836/1317/5366/581/2941/331/472/5290/207/538/598/841/5170/2946/2947/2944/540/2950/2067/9446/8503/8772/10000/4257/4193/7157/2939/2938/1026",41
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","84/3074","181/9370",0.464088397790055,1.41460907198855,3.93559276611091,8.37985862168432e-05,0.000653628972491377,0.000358716755033504,"3113/3122/2207/5594/3126/3123/3127/3125/3117/3118/7043/1054/54205/596/2212/9103/2209/972/4801/3689/3119/3329/8767/7879/637/3313/3109/22925/4802/5878/387/5970/3716/836/5868/1385/3916/581/1520/533/4615/527/10892/2215/2214/5869/11151/207/3684/64581/3459/1432/801/805/23545/5601/5993/841/808/537/5603/4360/9114/7040/4800/7096/6772/4790/3920/6714/5600/8772/818/5532/718/10000/64127/51606/817/3717/1509/810/7421/30835",84
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","55/3074","109/9370",0.504587155963303,1.53805518912692,3.94800162212778,9.37957622725196e-05,0.000714407794804779,0.000392072653918952,"32/5465/3643/57761/948/51085/5295/5500/2932/5970/2673/3551/5105/148327/1385/5499/5571/376497/6945/5580/5781/5290/207/6720/6774/10724/3667/5728/5601/9882/5170/90993/4790/1374/5564/6196/7376/2308/8473/5509/5792/6198/8660/10488/5106/5562/8503/5770/10000/11001/9021/10062/9586/5565/9945",55
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","42/3074","78/9370",0.538461538461538,1.64130924378159,3.97398654185362,9.56614426091869e-05,0.000714407794804779,0.000392072653918952,"3113/3122/5594/3126/3123/3127/3125/3117/3118/7043/2212/9103/2209/3689/3119/1536/3109/6885/5970/3716/4615/23118/3688/2215/2214/3684/3459/1432/65108/2353/5603/1915/7040/4688/6772/4790/1917/5600/1535/718/3717/3676",42
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","26/3074","42/9370",0.619047619047619,1.88694736189857,4.02526441716855,0.000100132005069902,0.000732215287073655,0.000401845546662105,"5094/9474/1536/81631/23657/6520/7037/5621/5093/4891/2937/55240/7018/2729/6303/7419/10533/2181/2730/2512/3162/112483/1356/7157/2180/51703",26
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","83/3074","180/9370",0.461111111111111,1.40553386828598,3.83859080397657,0.000121110683755958,0.000867547959149819,0.000476117188557256,"3113/3122/10189/3126/3123/3127/3125/3117/3118/6430/6428/6009/54205/6427/596/6732/6426/972/3119/5819/637/1965/3109/6885/5295/5500/5970/3551/29992/6432/3716/836/8683/7188/5499/29915/581/4615/23118/5781/5290/207/811/6347/3459/598/29110/56829/841/7249/6429/2923/5610/3133/6772/4938/4790/3134/4940/4939/6714/6890/1147/8503/8772/5371/64135/10379/3665/718/3106/10000/3107/6352/10929/9021/6672/57506/23586/567/3717/6431/7157",83
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","23/3074","36/9370",0.638888888888889,1.9474264440107,3.97950491864764,0.000126218770180404,0.000886055766666434,0.000486274419852924,"2237/5982/4171/4173/246243/5984/4175/5111/4172/54107/10535/4176/5983/5557/6117/6742/5985/57804/6119/1763/5558/5427/5426",23
"Metabolism","Glycan biosynthesis and metabolism","hsa00541","Biosynthesis of various nucleotide sugars","15/3074","20/9370",0.75,2.28610930383865,4.0230299314593,0.000134361117745759,0.000924720633897286,0.000507494005107822,"51167/140838/1727/7360/51706/7358/80896/7264/55907/23483/2762/51700/6675/91373/54187",15
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","95/3074","212/9370",0.44811320754717,1.36591436392875,3.76541857137717,0.00015208142188181,0.00102654959770222,0.00056337854664719,"51466/2277/5594/9223/2321/2773/10411/5898/3689/196883/2778/3937/5584/3643/1956/5879/2252/3479/80310/5295/387/1398/998/5216/10451/4893/22808/5906/2246/5156/3845/3082/5604/55740/2247/1500/3688/84612/5290/889/207/7422/3684/9855/2770/83660/3480/71/1432/801/805/25865/2263/4254/260425/2149/4233/808/5603/51735/7408/999/7057/2264/1902/5899/2357/6714/8631/2533/3815/5154/5600/9863/2260/113/7074/8503/1946/64411/1945/1399/284/10000/673/56288/5881/2261/57568/5578/1950/810/3683/23236/5880",95
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","41/3074","77/9370",0.532467532467532,1.62303863995471,3.83573475124577,0.000160182078936933,0.00106082848503516,0.000582191071409311,"5594/7043/5295/1398/5970/3551/6776/4089/4893/4616/3845/5604/581/2885/5781/5290/207/6654/598/1019/6777/6464/1021/7040/1487/4790/25/1147/595/8503/2122/1399/7048/10000/673/7046/1488/4193/7157/9846/1026",41
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","73/3074","156/9370",0.467948717948718,1.42637589042924,3.75229544349133,0.000173471686014892,0.0011275659590968,0.000618817125550198,"5594/7122/5465/54205/7534/7533/149461/5515/3627/1956/637/1965/10197/5295/7531/2932/5970/5520/10971/3551/1017/7529/3716/5010/5519/836/4893/3845/5604/581/3949/2885/8837/5290/207/5518/6654/29110/6774/1019/8737/841/4600/1021/1365/100506658/5610/6772/4938/4790/4940/4939/9073/1147/595/8503/8772/10379/91543/3665/10000/673/1366/9021/4599/1950/57506/23586/10062/1364/7157/1026/5522",73
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","25/3074","41/9370",0.609756097560976,1.85862545027532,3.8498546248752,0.000192363052815366,0.00122762602796715,0.000673730883544725,"2064/5594/1956/4893/3845/4318/5604/1890/4312/7422/1019/23604/999/7057/6714/595/1613/673/1612/2261/1950/9252/4193/7157/1026",25
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","72/3074","154/9370",0.467532467532468,1.42510709849682,3.71666720609186,0.000198173241551908,0.00124212156758428,0.000681686150451111,"1503/4337/10797/29968/6472/2058/4832/7372/8836/27235/204/25902/159/26289/80308/2643/51117/7360/51109/79646/211/5805/10201/102157402/8564/1738/2937/217/7358/219/790/1728/2677/4830/55312/2729/56474/8566/7389/326625/10229/51004/5373/1719/2235/6999/8942/587/133686/3620/4144/79001/2730/84274/9054/29922/195814/6470/4338/23475/129607/54995/8630/224/54490/210/7390/9249/205/586/1355/93100",72
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","48/3074","95/9370",0.505263157894737,1.5401157415334,3.69707167024366,0.000245670392617761,0.00151281241769885,0.000830243432115426,"3113/1513/3122/3126/3123/3127/3125/3117/3118/2321/10673/7043/528/523/3689/3119/6387/6348/6349/414062/3109/54/9550/942/533/51382/4312/527/7422/9296/6347/8992/23545/537/2353/9114/7040/526/3383/2920/4314/8741/1514/284/6352/51606/4050/3683",48
